user_id,target
U000001,1
U000002,1
U000003,0
U000004,0
U000005,1
U000006,0
U000007,0
U000008,0
U000009,0
U000010,0
U000011,0
U000012,0
U000013,0
U000014,1
U000015,0
U000016,0
U000017,0
U000018,0
U000019,0
U000020,1
U000021,1
U000022,0
U000023,0
U000024,0
U000025,0
U000026,1
U000027,0
U000028,0
U000029,0
U000030,0
U000031,0
U000032,1
U000033,0
U000034,0
U000035,0
U000036,1
U000037,0
U000038,1
U000039,1
U000040,0
U000041,0
U000042,0
U000043,1
U000044,0
U000045,1
U000046,0
U000047,0
U000048,1
U000049,1
U000050,1
U000051,0
U000052,0
U000053,0
U000054,0
U000055,0
U000056,0
U000057,0
U000058,0
U000059,0
U000060,0
U000061,0
U000062,0
U000063,0
U000064,0
U000065,0
U000066,0
U000067,1
U000068,0
U000069,1
U000070,0
U000071,0
U000072,0
U000073,0
U000074,1
U000075,1
U000076,0
U000077,0
U000078,0
U000079,1
U000080,0
U000081,0
U000082,0
U000083,0
U000084,0
U000085,0
U000086,1
U000087,0
U000088,1
U000089,0
U000090,1
U000091,1
U000092,1
U000093,0
U000094,0
U000095,1
U000096,0
U000097,1
U000098,1
U000099,1
U000100,1
U000101,1
U000102,0
U000103,1
U000104,1
U000105,0
U000106,1
U000107,1
U000108,1
U000109,1
U000110,0
U000111,1
U000112,0
U000113,1
U000114,0
U000115,0
U000116,0
U000117,0
U000118,1
U000119,0
U000120,1
U000121,0
U000122,1
U000123,1
U000124,1
U000125,0
U000126,0
U000127,0
U000128,0
U000129,0
U000130,0
U000131,0
U000132,1
U000133,0
U000134,0
U000135,1
U000136,0
U000137,0
U000138,1
U000139,0
U000140,0
U000141,0
U000142,0
U000143,1
U000144,1
U000145,0
U000146,0
U000147,1
U000148,0
U000149,0
U000150,0
U000151,0
U000152,1
U000153,0
U000154,0
U000155,1
U000156,0
U000157,0
U000158,1
U000159,0
U000160,0
U000161,1
U000162,1
U000163,1
U000164,0
U000165,0
U000166,0
U000167,1
U000168,0
U000169,1
U000170,1
U000171,0
U000172,0
U000173,0
U000174,0
U000175,0
U000176,1
U000177,1
U000178,1
U000179,0
U000180,1
U000181,0
U000182,0
U000183,0
U000184,0
